track_mbid,artist_mbid
b45b7b5b-6934-4e50-91ae-f102f6f5c363,664c3e0e-42d8-48c1-b209-1efca19c0325
b47d4b90-b877-4d79-b09b-75aa398dd424,88eab4fe-e2ff-4782-8f7e-85dc63b2f6e1
709756d3-69c5-47bb-8c89-184b95db4a31,bf2e15d0-4b77-469e-bfb4-f8414415baca
d452bd75-54d7-4d68-835d-f33a6744a6bd,5805761c-fa24-40e5-bb79-295a64195bf7
4da78599-cf27-44a9-b5a1-f4651796ec38,32b90c92-9978-4a07-90eb-caa4b22f4907
1f382787-1857-4e79-8560-131ca0c9cf79,8229a8f1-b315-4fae-af57-b3eb71efdaf4
26952b8a-5280-466a-bdf8-14d6be3e2809,5ea29f6f-f69a-4ce3-a06a-a7a1c60d3c0c
50002fad-e34e-41df-ab62-c0fe238f896c,195ddaa1-f1e4-4960-a107-58d26cb058a2
3d2ccd28-b5f0-4237-90d3-37606f6769b2,c4b933ea-dfa3-4d56-81f9-9f924e2540ec
c3ac0eb4-e32d-485a-971f-7dd743eab74b,fd0f1d5f-5d8c-4fcd-9d3c-0c9f20cddc08
5efc1689-a6e8-45d3-a481-774be58e8b59,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11
92c112ad-06e4-42e6-8dfe-46eaa047ca04,ef2c6449-d02b-415b-ad8c-c14c08266552
f81e71a1-49c5-4440-86e2-e6eeb01385d0,88be1fb5-0112-4549-9608-526591c7f415
afc0f50c-aa13-4628-920a-ccb1537fa84d,e938a15c-b17e-4e7a-9f68-ff0d536cab44
44c48214-d2c9-41a3-9eb2-51e2485bbcf4,9b30a687-a841-4b91-b1d8-a0ba5b6085ea
5e6fe742-17ce-4aaa-a6fe-938de69727ef,12d432a3-feb0-49b1-a107-d20751880764
96e25e14-65be-47bb-971a-be6fd28c741f,197450cd-0124-4164-b723-3c22dd16494d
a99e4783-0681-4f69-bab9-7d426a19b707,6821bf3f-5d5b-4b0f-8fa4-79d2ab2d9219
e814e6b5-78b8-4832-9029-7aa407c71dbc,8e8c7417-c905-46b1-b42a-5260b4274ed4
e7cddcef-8477-4c4d-be72-2b7615bd8e90,c2b8f775-455c-44c3-97ca-f377938da19e
